Country Name,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
闃垮鎷滅枂,AZE,NY.GDP.PCAP.CD,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7125.908584
甯冮殕杩?BDI,NY.GDP.PCAP.CD,70.90509996,132.1595545,120.9523086,111.4066828,125.1949652,147.2346193,161.8927556,166.1627449,189.5020746,199.097633,216.7277053,230.0705774,231.6884964,234.8430454,250.5404811,280.9668313,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399,214.0914554,250.6342254,193.0071456,
姣斿埄鏃?BEL,NY.GDP.PCAP.CD,1290.286072,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932,
璐濆畞,BEN,NY.GDP.PCAP.CD,487.4241414,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442545,1059.413589,1071.525836,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1197.501364,1318.834978,1264.70766,1394.373302
甯冨熀绾虫硶绱?BFA,NY.GDP.PCAP.CD,69.15024561,259.4852234,285.6540876,362.3739,403.8128374,441.164148,455.5136556,514.6844512,619.4375333,601.5695207,624.9572522,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101,
瀛熷姞鎷夊浗,BGD,NY.GDP.PCAP.CD,396.6707302,394.65641,393.8864223,426.7488075,455.6140169,480.0858508,490.3880265,537.9554928,613.062041,679.2114774,757.3852804,837.3369447,859.6805364,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485927,2551.017727
淇濆姞鍒╀簹,BGR,NY.GDP.PCAP.CD,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9436.144799,9838.60059,10198.53883,12274.0776,13644.20158,15885.53913
宸存灄,BHR,NY.GDP.PCAP.CD,14214.48368,13573.23399,13501.47088,14486.0269,15963.94932,17966.16578,19267.28262,20908.40425,23299.49928,19465.31407,21819.32911,25032.78677,26438.67332,26989.76011,26451.79656,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30616.26107,29218.86056
宸村搱椹?BHS,NY.GDP.PCAP.CD,1459.253539,25371.92377,26781.61959,26429.12478,26650.29342,28602.41819,29184.78651,30051.84896,29392.38244,27512.9131,27473.10043,27090.83768,28552.02427,27432.95343,28705.61708,30289.40225,30266.58592,31337.18325,32124.40511,32979.54013,25155.67254,28682.327,33044.38821,35896.50511,
娉㈡柉灏间簹鍜岄粦濉炲摜缁撮偅,BIH,NY.GDP.PCAP.CD,1338.480596,1387.893651,1606.546722,2033.947009,2452.686168,2739.610769,3166.128653,3931.489487,4841.693119,4539.918638,4506.478285,4982.693758,4693.788991,5034.56616,5206.065583,4662.258837,4928.566525,5345.019855,6047.845843,6122.375345,6130.311332,7295.343824,7655.59421,8638.666202
鐧戒縿缃楁柉,BLR,NY.GDP.PCAP.CD,1276.280381,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7994.648061,7829.053137
浼埄鍏?BLZ,NY.GDP.PCAP.CD,307.4145083,4721.816257,4861.743142,4962.08962,5156.098171,5272.744172,5527.167759,5765.281999,5713.281268,5401.229631,5451.138972,5582.221706,5709.689188,5950.202999,6128.142885,6154.495935,6142.498732,6072.582676,6031.281396,6190.047923,5227.193638,6122.611586,7068.454783,7459.998151,
鐧炬厱澶?BMU,NY.GDP.PCAP.CD,1715.314632,59490.2452,63358.56587,67106.80281,71692.1589,77628.10352,97781.4559,107395.6515,110268.5624,104711.7124,104111.8242,99049.01699,100213.4934,101704.4075,100961.5766,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106973.1757,112712.0251,120897.3112,125841.6025,
鐜诲埄缁翠簹,BOL,NY.GDP.PCAP.CD,975.7770604,930.1682272,888.221329,893.0137602,953.1918932,1020.123262,1202.711504,1354.549059,1692.672485,1731.181721,1929.783731,2315.521219,2575.598571,2870.02377,3041.435031,2996.012898,3035.873478,3306.303012,3500.726422,3503.896011,3099.94219,3384.844865,3643.92827,3686.279965
宸磋タ,BRA,NY.GDP.PCAP.CD,3766.548115,3176.289357,2855.940189,3090.60701,3663.823188,4827.781731,5934.144711,7409.691307,8908.331766,8678.659225,11403.28213,13396.62436,12521.72135,12458.89121,12274.99397,8936.196618,8836.286526,10080.50928,9300.661649,9029.833267,7074.193783,7972.53665,9281.333344,10294.86668
宸村反澶氭柉,BRB,NY.GDP.PCAP.CD,11674.67365,11639.51605,11760.45247,12075.9587,12886.36653,14214.42022,15619.6006,17235.43964,17565.693,16294.90995,18860.38337,19345.99531,19034.0708,19308.00911,19277.94236,18954.29137,19065.80698,19692.76067,20055.91587,20583.72658,18347.11091,18696.7859,22164.02603,23804.02499
鏂囪幈杈鹃瞾钀ㄥ叞鍥?BRN,NY.GDP.PCAP.CD,,18287.82717,18621.29227,20677.90012,24423.09477,29386.27036,34674.7996,36217.3291,42156.56852,30946.46743,34937.55552,46382.82745,46968.59711,44003.06443,41026.50839,30625.12873,26663.29732,28024.38246,30988.11905,30426.57303,26834.35925,31006.96362,36632.92804,32962.90651,
涓嶄腹,BTN,NY.GDP.PCAP.CD,771.9249114,812.2382108,895.7994899,1022.382403,1130.359346,1299.949386,1405.607162,1850.415704,1919.597749,1918.395992,2435.579807,2787.979677,2751.212887,2679.952172,2849.499987,2954.04082,3152.309051,3435.288048,3400.204172,3576.879871,3191.66907,3570.612579,3711.327679,
鍗氳尐鐡︾撼,BWA,NY.GDP.PCAP.CD,3450.811806,3206.071237,3117.250872,4230.123269,4956.692877,5391.070766,5291.583791,5529.125746,5503.073953,5082.933883,6215.732161,7287.382953,6595.53845,6666.912196,7122.364234,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.314192,7808.20624,8329.040322,7820.232404
涓潪鍏卞拰鍥?CAF,NY.GDP.PCAP.CD,65.88296298,237.9517025,248.639291,278.4039922,303.4613212,311.9500231,333.9425199,380.8870488,437.2482747,456.4716739,476.873787,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788972,
鍔犳嬁澶?CAN,NY.GDP.PCAP.CD,2264.948497,23822.09621,24256.01923,28301.86459,32145.54126,36383.66001,40504.0371,44660.08389,46710.25269,40874.88319,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571,
涓瓙鍜屾尝缇呯殑娴?CEB,NY.GDP.PCAP.CD,,4360.497477,4941.084945,5949.73678,7181.262146,8353.572001,9467.802376,11997.96322,14574.67278,12304.59125,12639.15404,14000.17927,13107.50012,13697.2993,14183.71548,12568.29651,12836.56663,14294.44702,16181.60737,16475.16148,16450.87751,19144.06855,19502.81693,22637.79501,
鐟炲＋,CHE,NY.GDP.PCAP.CD,38865.02194,39638.79111,42458.73847,49335.74563,54659.45715,56242.89336,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
娴峰场缇ゅ矝,CHI,NY.GDP.PCAP.CD,43479.19408,41873.74061,44459.73182,48570.77966,56259.53442,57647.11889,62745.10066,74139.97799,,57778.54029,56121.63866,60419.23251,58813.93665,59304.85125,64700.74257,61852.07365,55950.14854,55806.57091,60783.35331,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
鏅哄埄,CHL,NY.GDP.PCAP.CD,5052.992458,4563.595299,4430.847412,4773.401775,6120.591521,7480.32331,9318.656553,10346.41382,10683.21888,10098.80172,12632.87047,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
涓浗,CHN,NY.GDP.PCAP.CD,959.3604314,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58267,12614.06174
绉戠壒杩摝,CIV,NY.GDP.PCAP.CD,936.6365413,924.727295,967.8158644,1111.171351,1199.825245,1197.74617,1230.430568,1367.538177,1583.970667,1540.453936,1553.54887,1596.628266,1546.946018,1786.15862,1991.365394,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2308.706547,2530.846593
鍠€楹﹂殕,CMR,NY.GDP.PCAP.CD,708.5657316,715.4702965,789.6238111,988.2412768,1133.393267,1142.624663,1191.45459,1325.672482,1492.142698,1461.389992,1398.58702,1513.96057,1449.098744,1575.928821,1649.443391,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911
